grid_index,theta,cutoff,low_part,high_part,marginal_effect,se,ci_low,ci_high,a_coef,b_coef,N_model,N_countries
76,.1054991823967744,.0041231435658208,0,.1013760388309536,-.0815427876539418,.0330955682639068,-.1464101014511991,-.0166754738566845,3.380271891177528,-.8043595764272844,1060,60
77,.1072092438226201,.0041231435658208,0,.1030861002567993,-.0829182919380997,.0336538407640676,-.1488798198356722,-.0169567640405272,3.380271891177528,-.8043595764272844,1060,60
78,.1089193052484658,.0041231435658208,0,.104796161682645,-.08429379622225749,.0342121132642283,-.151349538220145,-.01723805422437,3.380271891177528,-.8043595764272844,1060,60
79,.1106293666743115,.0041231435658208,0,.1065062231084907,-.0856693005064154,.0347703857643891,-.153819256604618,-.0175193444082128,3.380271891177528,-.8043595764272844,1060,60
80,.1123394281001572,.0041231435658208,0,.1082162845343364,-.0870448047905733,.0353286582645498,-.1562889749890909,-.0178006345920557,3.380271891177528,-.8043595764272844,1060,60
81,.1140494895260029,.0041231435658208,0,.1099263459601821,-.0884203090747312,.0358869307647106,-.158758693373564,-.0180819247758984,3.380271891177528,-.8043595764272844,1060,60
82,.1157595509518486,.0041231435658208,0,.1116364073860278,-.0897958133588891,.0364452032648713,-.1612284117580368,-.0183632149597414,3.380271891177528,-.8043595764272844,1060,60
83,.1174696123776943,.0041231435658208,0,.1133464688118735,-.09117131764304701,.0370034757650321,-.1636981301425099,-.0186445051435841,3.380271891177528,-.8043595764272844,1060,60
84,.11917967380354,.0041231435658208,0,.1150565302377192,-.0925468219272049,.0375617482651929,-.166167848526983,-.0189257953274268,3.380271891177528,-.8043595764272844,1060,60
85,.1208897352293857,.0041231435658208,0,.1167665916635649,-.09392232621136271,.0381200207653536,-.1686375669114558,-.0192070855112697,3.380271891177528,-.8043595764272844,1060,60
86,.1225997966552314,.0041231435658208,0,.1184766530894106,-.0952978304955206,.0386782932655144,-.1711072852959288,-.0194883756951124,3.380271891177528,-.8043595764272844,1060,60
87,.1243098580810771,.0041231435658208,0,.1201867145152563,-.0966733347796785,.0392365657656751,-.1735770036804017,-.0197696658789553,3.380271891177528,-.8043595764272844,1060,60
88,.1260199195069228,.0041231435658208,0,.121896775941102,-.09804883906383639,.0397948382658359,-.1760467220648748,-.020050956062798,3.380271891177528,-.8043595764272844,1060,60
89,.1277299809327685,.0041231435658208,0,.1236068373669477,-.0994243433479943,.0403531107659966,-.1785164404493476,-.020332246246641,3.380271891177528,-.8043595764272844,1060,60
90,.1294400423586142,.0041231435658208,0,.1253168987927934,-.1007998476321522,.0409113832661574,-.1809861588338207,-.0206135364304837,3.380271891177528,-.8043595764272844,1060,60
91,.1311501037844599,.0041231435658208,0,.1270269602186391,-.1021753519163101,.0414696557663181,-.1834558772182936,-.0208948266143266,3.380271891177528,-.8043595764272844,1060,60
92,.1328601652103056,.0041231435658208,0,.1287370216444848,-.1035508562004679,.0420279282664789,-.1859255956027666,-.0211761167981693,3.380271891177528,-.8043595764272844,1060,60
93,.1345702266361513,.0041231435658208,0,.1304470830703305,-.1049263604846258,.0425862007666397,-.1883953139872396,-.021457406982012,3.380271891177528,-.8043595764272844,1060,60
94,.136280288061997,.0041231435658208,0,.1321571444961762,-.1063018647687837,.0431444732668004,-.1908650323717125,-.0217386971658549,3.380271891177528,-.8043595764272844,1060,60
95,.1379903494878427,.0041231435658208,0,.1338672059220219,-.1076773690529416,.0437027457669612,-.1933347507561856,-.0220199873496977,3.380271891177528,-.8043595764272844,1060,60
96,.1397004109136884,.0041231435658208,0,.1355772673478676,-.1090528733370995,.0442610182671219,-.1958044691406584,-.0223012775335406,3.380271891177528,-.8043595764272844,1060,60
97,.1414104723395341,.0041231435658208,0,.1372873287737133,-.1104283776212574,.0448192907672827,-.1982741875251315,-.0225825677173833,3.380271891177528,-.8043595764272844,1060,60
98,.1431205337653798,.0041231435658208,0,.138997390199559,-.1118038819054153,.0453775632674434,-.2007439059096044,-.0228638579012262,3.380271891177528,-.8043595764272844,1060,60
99,.1448305951912255,.0041231435658208,0,.1407074516254047,-.1131793861895731,.0459358357676042,-.2032136242940773,-.0231451480850689,3.380271891177528,-.8043595764272844,1060,60
100,.1465406566170712,.0041231435658208,0,.1424175130512504,-.114554890473731,.0464941082677649,-.2056833426785502,-.0234264382689118,3.380271891177528,-.8043595764272844,1060,60
